source_id,Xi,Xn,PMra,PMdec,BP0-RP0,G0_c,pmra_error,pmdec_error,bp_rp_error,pmra_pmdec_corr,phot_g_mean_mag_err,phot_bp_mean_mag_err,posterior_prob,last_memb_posterior_prob
1423996406988908928,0.4802393531066318,0.3050797909825459,-0.9634620834186828,-1.5181581143201743,-0.1098905530671251,-1.6713780107417455,0.1148534537586556,0.1360961672382819,0.1407160821802025,0.3152235448360443,0.0698262107963993,0.08253135,0.0,0.5581975
1427208767648585344,0.6736201886723732,0.6047591461444973,-0.6486345054575906,1.0711745501491123,-1.0562660940041626,0.741365988775578,0.2195198470586438,0.2270476838304101,0.1099163015624032,-0.1293695867061615,0.1599249563391406,0.10610111,1.0,0.009775518
1430446623234665600,0.5725515519842476,0.696915585038643,-1.9275679700925803,0.5677833031818775,0.2136156613439599,0.9623123549272736,0.3176061210100512,0.2580886386775531,0.1468117899105585,0.0752785056829452,0.2243331754885548,0.1848655,0.9,0.3183499
1427211108406755584,0.6839338219997972,0.6070008045371378,0.1323782796096019,-1.2718536196342134,0.8892737369047619,3.1630157934035754,0.3319371947196174,0.2828080224427644,0.2045640841462493,0.2674040794372558,0.2170233438310542,0.19883637,1.0,0.15806955
1430450299726706560,0.5885321770889975,0.7039704055336944,0.9006984222651139,-0.9398823199913626,-1.2290627632552351,0.4973625933336447,0.0813030037155665,0.0842366273367848,0.1077678442826829,0.2858348190784454,0.0399499633161677,0.074306235,1.0,6.6764864e-05
1424001221647163520,0.4672908115842893,0.3006879927451101,0.3681015714448498,0.1097931561850352,0.5229062688728976,2.03191582637394,0.2056857802048402,0.2722626219982065,0.1835977237831081,0.2174309343099594,0.1783673299510828,0.18883352,1.0,0.00862622
1424001904547025024,0.4728647324074905,0.3020802928448835,1.195313544653775,-1.1178441803007957,-0.7138919701657549,-0.255413841813684,0.0816613963918818,0.0986715562101484,0.1482529582791167,0.29365074634552,0.0491214287327984,0.09375938,1.0,0.00046848637
1424002213784688256,0.4726876871902964,0.3042260671902616,-1.2274114679389854,0.8939453653198755,0.9112950002183604,-0.4305445140303349,0.1225459795087928,0.1291521415246765,0.1097292397664725,0.3025231957435608,0.0657728419595858,0.06349971,1.0,0.003911957
1424003622533977856,0.4728080038017591,0.306917492788363,0.164647870050497,-1.383269679890522,0.3009512058687333,-0.6606134824989534,0.1353314202626928,0.134473470595107,0.1693115853668872,0.2614477574825287,0.0774606074479589,0.10562447,1.0,0.0046676006
1424004073505454208,0.4651876224968284,0.302191510837424,0.3848786808233776,1.2970771215713284,1.3088605197305443,0.7286925666281009,0.1385943892471217,0.1325136688859321,0.1324850487536482,0.1857053339481353,0.088903134867438,0.09083027,0.9,0.27571696
1424004103570290816,0.4646061553064196,0.3030510114863517,-1.072355243166626,-0.119104366900051,0.6842598020621674,-1.0027969755140262,0.0835653052923524,0.0963909994069478,0.1189148314458494,0.2633152306079864,0.054050835684235,0.068516865,1.0,0.010311243
1424004137930033152,0.4652126004484338,0.3035858442716553,-1.0147081940488771,-0.1516745373635741,-0.7881246573068988,1.4266284881314055,0.2382316927417348,0.232034541748134,0.1265083959017502,0.3190720081329345,0.2412291611264524,0.17079926,1.0,0.15503417
1424004412807947776,0.4642717656229579,0.3047713954392749,0.1075698026864808,-0.7491135010687826,-1.748766407643526,-0.440230415155337,0.0863987921103653,0.0852221498940648,0.0963660684216592,0.2027352303266525,0.0637814536392773,0.055559095,1.0,0.0030112236
1424004412807950336,0.4648097520539671,0.3051236149644225,-1.5407061261023884,-1.064776601259278,0.9313509760032328,1.4418907809616923,0.3561791328732555,0.4418404818982229,0.2673842967844735,-0.00774204172194,0.2475988242243031,0.23250571,0.0,0.5673516
